qz	intensity_normalized	e_intensity_normalized	intensity_fit
0.017981839786158325	1.0	0.1022776714202418	0.9999999999999994
0.018731106605525065	1.0175973545864545	0.10405224352182572	1.0
0.01947177568667875	1.020186634759377	0.10432370057036063	0.9999999999999997
0.020229753156045655	1.0278318714174939	0.10509095134774411	1.0
0.020943722287716286	1.0283303905907795	0.10514465865514207	1.0
0.02170413008303641	0.8292321211610346	0.08499558318450909	0.9999999999999999
0.02242678511902206	0.4504607269991788	0.04657503999453568	0.5955091317052918
0.023166145702097338	0.3279679430633016	0.03410467754889769	0.32378868701405
0.02390227035658957	0.2220961099701097	0.0232835693896237	0.22271039092927022
0.024632604464126746	0.17375701998306106	0.018329736195339383	0.1663167783132366
0.025365600923058045	0.13560674739279951	0.014400712904295634	0.12976041446974765
0.026113276906559946	0.11085139296179218	0.011843250608665461	0.10389521668615348
0.026842766506405526	0.09152956509203826	0.009843056007787742	0.08549201036003506
0.02758365864588574	0.07791205037162681	0.008433926445878509	0.07134671413885069
0.028318703843605637	0.06496242740330706	0.00707859272103408	0.06045158003321107
0.029021071416546404	0.062346644793584774	0.006402961059005893	0.05214924109020035
0.029056509446067816	0.05647134922470044	0.00619258854883957	0.05177463994522704
0.02979660574118181	0.0478962699256799	0.005287841041389298	0.04475390261036419
0.030539833765071512	0.04141362099359984	0.004606549584274421	0.03898809228330423
0.031142816471499444	0.03887532371201459	0.004020192010350912	0.03505118142780715
0.03128217014072781	0.03563274088411743	0.003998479368904745	0.03422122344003942
0.032015810395415754	0.03157881604957262	0.003563160292649097	0.030275365312600503
0.033209601804322364	0.026587868207520304	0.00276818933611172	0.025098365178171027
0.035340938452124486	0.01967778189586088	0.002062047511012537	0.01851036835622784
0.03744103707219339	0.015144695518749512	0.00159788552140513	0.014139246426430918
0.03953607569369817	0.011633047873021014	0.001235918025594869	0.011072481919964858
0.04164666248105707	0.009292553565344877	0.0009943541671934674	0.008831159580741363
0.043741222977794196	0.007460952222913974	0.000804336639882268	0.007174883858364414
0.0450449225807793	0.006955043082418501	0.0007124138704575108	0.00635108518919805
0.045844719947836045	0.006118895648339588	0.0006652513500821303	0.005908040345516023
0.04793118265989155	0.005014222813048029	0.0005492749870510021	0.004932474799223948
0.047960113669054324	0.005327431516117772	0.0005475882098211314	0.004920529907109866
0.050020014659540035	0.004273249134198466	0.00047180027755779953	0.004161144078705335
