qz	intensity_normalized	e_intensity_normalized
0.017994035898186333	1.0	0.10250037456847726
0.018732087899647202	1.0235158169773333	0.10488239077714295
0.01946742996573902	0.981608436778454	0.10063488082585821
0.02020861332712139	1.0266876455245177	0.105195322549277
0.020947041146661374	1.0248410216611201	0.10501129086529101
0.021666862097818887	0.9837526995446103	0.10084050538298436
0.02242243590053305	0.6254839890515969	0.064521719905581
0.02315782227395132	0.43698527256941966	0.04534996476410155
0.02389082094660306	0.2999589780280964	0.03136264365694798
0.024622791730630977	0.21763586397215198	0.022927361433095
0.02537606900087531	0.17067011832257625	0.018098362039705877
0.026110518814546457	0.12441917379265698	0.013324839052970428
0.02684299412965788	0.11821324569225693	0.01267650264418467
0.027586087228337594	0.08743498261807083	0.009482164646667054
0.028327254801027907	0.07286443582026683	0.007961009437994625
0.029019252730016615	0.06425459175884653	0.006610501578344865
0.029061555895151622	0.06577613921403294	0.007215148483812137
0.029799829849880787	0.054905708536210476	0.006077721864236585
0.030531517752356883	0.046132703818805035	0.005145836118320399
0.031138705818777337	0.043038284310686785	0.00445541259588528
0.031275255940129844	0.04184950984388992	0.0046977984203693075
0.03202917640519286	0.03565086222692262	0.0040383902857488805
0.033206601460324954	0.02744597141987705	0.0028650653259794955
0.03532420093203572	0.020646910606009785	0.0021694520742419295
0.037429626205174274	0.015772462478291942	0.001669179214656855
0.03953662866509175	0.012303952683255116	0.0013113561169243767
0.04164521146542742	0.009601027832040138	0.0010316709423904317
0.04375413415807972	0.0076831376922221395	0.0008328932648971747
0.04505249950076359	0.007099642705210149	0.0007285715804821652
0.04586365822513906	0.00621659374858935	0.0006799366049863439
0.04793610463540298	0.004992224136757447	0.0005510278660906537
0.04797381235504503	0.0053847261630656385	0.0005545587950687912
0.05005100239752809	0.004089875917026672	0.0004556145117039839
0.05088635513046933	0.004091372212740723	0.0004232015251480657
0.05380190374458422	0.0032667491729971867	0.00033922174952412116
0.05674069203102658	0.0025561025904066535	0.00026676788723654574
0.05966705632567695	0.0020792806992806843	0.00021794661158849475
0.06260907837167907	0.0016907207038273679	0.00017814143384297935
0.06555480729632177	0.0013951557593099378	0.00014777420813729357
0.06848743246378633	0.0011526168655071971	0.00012276202913998074
0.06908314568122707	0.0011585831270699094	0.00011815171096245186
0.07140421826867868	0.0009720178428300323	0.00010410336330743275
0.07433841873416794	0.0008198416694383956	8.831719856463295e-05
0.07725042072413425	0.0006946345945669581	7.532510956486666e-05
0.07920785146016497	0.0006459052969864929	6.62835266485639e-05
0.0801876383766872	0.0005906957184341068	6.448188074926518e-05
0.08310647131269984	0.000503118515144668	5.539198954839589e-05
0.08927800690019316	0.00038989106445994016	4.0316088224978496e-05
0.0993975017785178	0.00024572993976318224	2.5639413540558195e-05
0.10952589201769374	0.0001624266649684996	1.7118342975613223e-05
0.11960633862182105	0.00011332449556907676	1.2071214500197786e-05
